Stock Symbols,Variance,Returns,Cluster_labels,Stock Trend
NTPC.NS,0.05737539985188434,-1.304243109721203,0,Bearish
ADANIENT.NS,0.49347774879673745,-0.7631188948224534,0,Bearish
HDFCLIFE.NS,0.03486551536676113,-1.0214404987418155,0,Bearish
HINDALCO.NS,0.10073839884778389,-1.032635175313627,0,Bearish
ASIANPAINT.NS,0.0701354815841545,-1.4828246749733176,0,Bearish
TATAPOWER.NS,0.07664593195408054,-0.9126159668059358,0,Bearish
TATACHEM.NS,0.06534702969617276,-0.8611339339783797,0,Bearish
