Stock Symbols,Variance,Returns,Cluster_labels,Stock Trend
INFY.NS,0.058054482031141726,0.5901282826597308,2,Bullish
HCLTECH.NS,0.04020716123594466,0.6388383795970769,2,Bullish
BAJFINANCE.NS,0.06755505473744383,0.38247689928226414,2,Bullish
M&M.NS,0.08448937043046807,0.6123381674075957,2,Bullish
WIPRO.NS,0.04976574500443366,0.40771874133381847,2,Bullish
TITAN.NS,0.05640612648664148,0.3337781002085465,2,Bullish
DRREDDY.NS,0.050098094824343534,0.432395567011042,2,Bullish
TECHM.NS,0.05987968742304126,0.3239550200318452,2,Bullish
