TCS.NS,ITC.NS,HDFCBANK.NS,BHARTIARTL.NS,ICICIBANK.NS,INFY.NS,SBIN.NS,HINDUNILVR.NS,HCLTECH.NS,LT.NS,BAJFINANCE.NS,SUNPHARMA.NS,M&M.NS,KOTAKBANK.NS,ULTRACEMCO.NS,AXISBANK.NS,NTPC.NS,ONGC.NS,WIPRO.NS,TITAN.NS,BEL.NS,INDUSINDBK.NS,JSWSTEEL.NS,ADANIENT.NS,HDFCLIFE.NS,TATAMOTORS.NS,HINDALCO.NS,BAJAJ-AUTO.NS,ASIANPAINT.NS,MARICO.NS,CIPLA.NS,TATASTEEL.NS,DRREDDY.NS,GRASIM.NS,TATAPOWER.NS,BOSCHLTD.NS,M&MFIN.NS,TATACONSUM.NS,NESTLEIND.NS,ZEEL.NS,HDFCAMC.NS,TATACHEM.NS,TECHM.NS,APOLLOTYRE.NS,TATAELXSI.NS
3984.199951171875,490.29998779296875,1737.300048828125,1616.449951171875,1291.800048828125,1760.8499755859375,821.2000122070312,2537.5,1757.4000244140625,3626.35009765625,6923.60009765625,1858.4000244140625,2817.64990234375,1744.4000244140625,11145.7998046875,1169.550048828125,411.3500061035156,271.75,275.67498779296875,3293.699951171875,288.6499938964844,1062.5,968.2999877929688,2949.5,723.7000122070312,843.4500122070312,690.9000244140625,9875.9501953125,2939.85009765625,645.9500122070312,1559.550048828125,149.75,1259.5999755859375,2698.89990234375,445.45001220703125,35182.1484375,273.3999938964844,1004.0999755859375,2282.300048828125,123.19000244140625,4322.85009765625,1154.75,1603.6500244140625,503.20001220703125,7107.5
3964.14990234375,484.6000061035156,1714.0999755859375,1591.25,1277.199951171875,1763.6500244140625,829.8499755859375,2524.800048828125,1762.949951171875,3574.449951171875,6843.7001953125,1808.9000244140625,2883.949951171875,1729.3499755859375,11001.849609375,1139.25,400.95001220703125,265.29998779296875,270.3999938964844,3222.0,284.1499938964844,1063.800048828125,954.9000244140625,2897.39990234375,710.8499755859375,824.0999755859375,674.2999877929688,9525.5498046875,2915.300048828125,634.9500122070312,1584.5999755859375,146.9499969482422,1268.300048828125,2590.60009765625,429.04998779296875,35341.1015625,273.70001220703125,994.5999755859375,2246.199951171875,120.44999694824219,4283.39990234375,1125.75,1638.4000244140625,485.20001220703125,7035.10009765625
3971.35009765625,480.20001220703125,1757.8499755859375,1578.4000244140625,1296.699951171875,1754.199951171875,849.2000122070312,2521.35009765625,1773.550048828125,3574.800048828125,6930.35009765625,1803.5999755859375,2899.449951171875,1757.1500244140625,11176.349609375,1171.699951171875,403.1000061035156,267.3999938964844,271.8500061035156,3230.25,286.3500061035156,1090.0999755859375,999.5,2915.550048828125,717.25,835.6500244140625,697.5499877929688,9874.849609375,2887.300048828125,634.0,1601.199951171875,152.2899932861328,1272.199951171875,2650.949951171875,434.1000061035156,35612.55078125,276.8999938964844,1000.75,2262.449951171875,121.44000244140625,4294.0,1129.800048828125,1632.6500244140625,482.45001220703125,7031.60009765625
4139.64990234375,481.1000061035156,1755.25,1598.800048828125,1302.3499755859375,1823.699951171875,854.7999877929688,2500.699951171875,1838.4000244140625,3645.449951171875,7006.2001953125,1827.449951171875,2934.550048828125,1762.5999755859375,11274.400390625,1166.5,408.8999938964844,269.04998779296875,281.95001220703125,3177.050048828125,301.8500061035156,1077.6500244140625,1008.6500244140625,3046.25,708.7000122070312,839.7000122070312,708.2000122070312,10020.5,2897.300048828125,648.7000122070312,1594.050048828125,153.6199951171875,1302.0999755859375,2645.949951171875,449.29998779296875,36272.69921875,277.25,1007.0499877929688,2275.60009765625,123.36000061035156,4498.4501953125,1150.550048828125,1693.550048828125,490.3999938964844,7232.35009765625
4150.89990234375,477.8999938964844,1746.550048828125,1575.800048828125,1278.699951171875,1803.050048828125,859.5999755859375,2475.5,1831.949951171875,3646.550048828125,6904.5,1790.949951171875,2891.35009765625,1746.9000244140625,11050.7998046875,1159.9000244140625,403.79998779296875,265.20001220703125,281.70001220703125,3120.85009765625,300.3500061035156,1056.800048828125,989.7999877929688,2970.10009765625,711.7000122070312,819.75,648.0999755859375,9856.650390625,2842.85009765625,631.6500244140625,1576.1500244140625,150.9499969482422,1287.3499755859375,2562.699951171875,444.8999938964844,35369.6484375,272.54998779296875,984.8499755859375,2262.85009765625,124.91000366210938,4517.14990234375,1120.25,1651.0,497.5,7164.9501953125
4147.0,478.04998779296875,1754.449951171875,1569.9000244140625,1258.8499755859375,1829.949951171875,843.1500244140625,2507.699951171875,1837.5,3660.300048828125,6895.9501953125,1809.5999755859375,2974.89990234375,1745.800048828125,11043.349609375,1160.949951171875,397.6499938964844,262.54998779296875,284.5,3186.25,297.75,1053.800048828125,996.4000244140625,2929.10009765625,708.5,805.4500122070312,650.4500122070312,9910.400390625,2769.449951171875,629.8499755859375,1592.5999755859375,147.57000732421875,1283.6500244140625,2544.85009765625,432.75,35119.3984375,276.1499938964844,992.9500122070312,2295.64990234375,122.61000061035156,4484.5498046875,1101.5,1681.3499755859375,491.04998779296875,6940.7998046875
4198.7001953125,476.95001220703125,1766.300048828125,1560.550048828125,1269.300048828125,1860.0999755859375,847.6500244140625,2491.050048828125,1867.300048828125,3628.85009765625,6778.7998046875,1794.5999755859375,2930.60009765625,1744.0,10970.4501953125,1171.0,392.54998779296875,256.8999938964844,286.75,3206.60009765625,299.75,1060.800048828125,979.0,2903.64990234375,705.3499755859375,804.7000122070312,655.3499755859375,9919.349609375,2543.10009765625,617.0999755859375,1552.800048828125,145.00999450683594,1287.9000244140625,2519.5,431.5,34990.8515625,269.6000061035156,975.9500122070312,2279.050048828125,120.72000122070312,4450.0498046875,1096.550048828125,1704.1500244140625,483.25,6524.89990234375
4197.39990234375,472.8500061035156,1718.199951171875,1555.6500244140625,1270.5999755859375,1868.800048828125,826.7000122070312,2461.5,1872.8499755859375,3591.35009765625,6638.2001953125,1800.8499755859375,2898.550048828125,1721.4000244140625,10892.0,1158.1500244140625,380.29998779296875,256.1499938964844,285.32501220703125,3198.449951171875,290.1499938964844,1059.550048828125,957.25,2870.0,700.0,784.8499755859375,651.6500244140625,9678.7001953125,2474.85009765625,595.5499877929688,1525.1500244140625,144.1699981689453,1263.9000244140625,2521.199951171875,414.1499938964844,33278.5,265.3999938964844,967.5499877929688,2256.199951171875,119.05000305175781,4397.5,1072.3499755859375,1687.0,471.3500061035156,6635.5
4150.35009765625,472.20001220703125,1681.3499755859375,1550.449951171875,1253.699951171875,1868.4000244140625,808.6500244140625,2464.949951171875,1864.75,3547.949951171875,6566.0,1779.0,2798.949951171875,1687.8499755859375,10782.2001953125,1139.1500244140625,381.3500061035156,252.5500030517578,284.5,3187.85009765625,281.54998779296875,1036.699951171875,935.9500122070312,2816.699951171875,685.0499877929688,786.25,626.5999755859375,9452.150390625,2470.5,597.2000122070312,1505.5999755859375,139.1699981689453,1245.0,2502.89990234375,399.3500061035156,33212.0,258.25,952.75,2235.25,114.9000015258789,4249.14990234375,1041.1500244140625,1675.5999755859375,456.6000061035156,6417.2998046875
4145.89990234375,465.95001220703125,1692.75,1550.5,1256.949951171875,1864.550048828125,804.25,2389.199951171875,1858.949951171875,3526.25,6549.14990234375,1768.199951171875,2807.199951171875,1707.9000244140625,10728.5,1140.699951171875,372.5,250.8000030517578,283.3500061035156,3183.699951171875,280.95001220703125,1017.1500244140625,939.0499877929688,2826.800048828125,694.0,774.2999877929688,627.3499755859375,9482.9501953125,2483.14990234375,592.25,1499.75,137.97999572753906,1226.699951171875,2523.949951171875,404.6499938964844,33862.1015625,256.8500061035156,925.0,2182.800048828125,115.54000091552734,4278.75,1058.550048828125,1687.5,475.29998779296875,6374.5498046875
